Rep,Threads,RuntimeSeconds,MaxMemoryBytes,Tool
1,1,2568.3335649967194,2717388800,raxtax
2,1,2549.5332238674164,2713747456,raxtax
3,1,2468.260069131851,2715463680,raxtax
4,1,2545.5911135673523,2714890240,raxtax
5,1,2575.2682735919952,2718523392,raxtax
1,2,1441.7537281513214,2785931264,raxtax
2,2,1434.7841210365295,2784493568,raxtax
3,2,1434.688972234726,2785693696,raxtax
4,2,1463.419485092163,2783510528,raxtax
5,2,1521.4127304553986,2788327424,raxtax
1,4,700.4598145484924,2782486528,raxtax
2,4,706.4583513736725,2794459136,raxtax
3,4,709.2727348804474,2788601856,raxtax
4,4,710.5751266479492,2790547456,raxtax
5,4,789.9891474246979,2791526400,raxtax
1,8,367.40271258354187,2816794624,raxtax
2,8,369.104371547699,2812436480,raxtax
3,8,366.97943925857544,2838835200,raxtax
4,8,371.8170030117035,2877689856,raxtax
5,8,409.31367015838623,2831831040,raxtax
1,16,194.79449486732483,2979647488,raxtax
2,16,199.50878715515137,2886033408,raxtax
3,16,194.18952178955078,2901397504,raxtax
4,16,195.0913417339325,2938146816,raxtax
5,16,214.74965643882751,3017908224,raxtax
1,24,140.88487768173218,2975211520,raxtax
2,24,140.87702298164368,3096498176,raxtax
3,24,139.21965432167053,3039776768,raxtax
4,24,141.852947473526,3045265408,raxtax
5,24,149.67704796791077,3110948864,raxtax
1,32,118.00415349006653,3246206976,raxtax
2,32,120.01327180862427,3166543872,raxtax
3,32,118.39937686920166,3141541888,raxtax
4,32,119.21005606651306,3102269440,raxtax
5,32,146.36791133880615,3099045888,raxtax
1,48,105.80071496963501,3434659840,raxtax
2,48,104.90334916114807,3526012928,raxtax
3,48,104.49792051315308,3449344000,raxtax
4,48,105.00975203514099,3499802624,raxtax
5,48,126.27981996536255,3500974080,raxtax
