Rep,Threads,RuntimeSeconds,MaxMemoryBytes,Tool
1,1,74.78329682350159,1527181312,raxtax
2,1,74.48463988304138,1527296000,raxtax
3,1,77.28854298591614,1527652352,raxtax
4,1,75.08568024635315,1527287808,raxtax
5,1,78.19038200378418,1527578624,raxtax
1,2,78.11645174026489,1539641344,raxtax
2,2,78.91992354393005,1541525504,raxtax
3,2,80.220388174057,1541279744,raxtax
4,2,78.51692461967468,1539330048,raxtax
5,2,83.23001766204834,1539317760,raxtax
1,4,74.41628122329712,1551728640,raxtax
2,4,74.81454253196716,1551380480,raxtax
3,4,75.61663103103638,1553854464,raxtax
4,4,77.52074837684631,1556000768,raxtax
5,4,88.65116810798645,1550569472,raxtax
1,8,74.02042627334595,1556320256,raxtax
2,8,79.235036611557,1562783744,raxtax
3,8,76.92874789237976,1558278144,raxtax
4,8,77.53089618682861,1554477056,raxtax
5,8,89.96566820144653,1560297472,raxtax
1,16,80.64215397834778,1717161984,raxtax
2,16,80.63901543617249,1694924800,raxtax
3,16,81.24040603637695,1694564352,raxtax
4,16,80.0373809337616,1687842816,raxtax
5,16,101.09431481361389,1638621184,raxtax
1,24,89.66929817199707,1832828928,raxtax
2,24,85.66024947166443,1852547072,raxtax
3,24,94.88776969909668,1865244672,raxtax
4,24,82.25138258934021,1813463040,raxtax
5,24,133.39599657058716,1805811712,raxtax
1,32,109.593585729599,2006577152,raxtax
2,32,109.59440422058105,1994428416,raxtax
3,32,108.69735145568848,2008158208,raxtax
4,32,107.09309792518616,2017226752,raxtax
5,32,142.0584123134613,1936437248,raxtax
1,48,145.07257056236267,2265747456,raxtax
2,48,142.49655508995056,2302013440,raxtax
3,48,155.1307508945465,2288177152,raxtax
4,48,128.37119889259338,2273517568,raxtax
5,48,170.38573098182678,2190254080,raxtax
